date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:03	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2002:22:03%20GMT	https://turtlegameslunchclub.my.canva.site/robots.txt		(from )
18:22:03	101735/101735	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Dec%202021%2002:20:54%20GMT	https://turtlegameslunchclub.my.canva.site/	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/index.html	(from )
18:22:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:03%20GMT	http://turtlegameslunchclub.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.0.delayed	(from https://turtlegameslunchclub.my.canva.site/)
18:22:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:04%20GMT	http://turtlegameslunchclub.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://turtlegameslunchclub.my.canva.site/)
18:22:04	510/510	---MC-	200	added ('OK')	image/png	date:Tue,%2028%20Dec%202021%2002:22:04%20GMT	https://turtlegameslunchclub.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	(from https://turtlegameslunchclub.my.canva.site/)
18:22:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:04%20GMT	http://turtlegameslunchclub.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://turtlegameslunchclub.my.canva.site/)
18:22:04	1053/1053	---MC-	200	added ('OK')	image/png	date:Tue,%2028%20Dec%202021%2002:22:04%20GMT	https://turtlegameslunchclub.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://turtlegameslunchclub.my.canva.site/)
18:22:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:04%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/3dae3800fab4aad097008bba4dfa94c1.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/3dae3800fab4aad097008bba4dfa94c1.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:04	6245/6245	---MC-	200	added ('OK')	image/png	date:Tue,%2028%20Dec%202021%2002:22:04%20GMT	https://turtlegameslunchclub.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://turtlegameslunchclub.my.canva.site/)
18:22:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:05%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/71d66fa3f70c070b9427b4baf1980061.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/71d66fa3f70c070b9427b4baf1980061.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:05	23576/23576	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:05%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/3dae3800fab4aad097008bba4dfa94c1.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/3dae3800fab4aad097008bba4dfa94c1.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:05%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/0f51da86a058aef1bb585a64cf664ab7.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/0f51da86a058aef1bb585a64cf664ab7.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:06	23612/23612	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:05%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/71d66fa3f70c070b9427b4baf1980061.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/71d66fa3f70c070b9427b4baf1980061.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:06%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/1aaf8c95b881644a76961b6db0059fc0.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/1aaf8c95b881644a76961b6db0059fc0.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:06	24956/24956	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:06%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/0f51da86a058aef1bb585a64cf664ab7.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/0f51da86a058aef1bb585a64cf664ab7.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:07%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/2e6cd6edd8c613b3bb97fea786423021.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/2e6cd6edd8c613b3bb97fea786423021.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:07	24476/24476	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:07%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/1aaf8c95b881644a76961b6db0059fc0.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/1aaf8c95b881644a76961b6db0059fc0.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:08%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/5d3de1b2e62932b8223d7f271173fe57.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/5d3de1b2e62932b8223d7f271173fe57.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:08	37736/37736	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:08%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/2e6cd6edd8c613b3bb97fea786423021.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/2e6cd6edd8c613b3bb97fea786423021.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:09%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/9845755400f2c24d7c04b24e20caa6c5.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/9845755400f2c24d7c04b24e20caa6c5.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:10	37580/37580	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:09%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/5d3de1b2e62932b8223d7f271173fe57.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/5d3de1b2e62932b8223d7f271173fe57.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:10%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/b732ddf09155ab8e9d675a4a9e6fe3db.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/b732ddf09155ab8e9d675a4a9e6fe3db.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:11	43344/43344	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:10%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/9845755400f2c24d7c04b24e20caa6c5.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/9845755400f2c24d7c04b24e20caa6c5.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:11%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/22ff9d894b6467b3ddab0f1989a2cb4d.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/22ff9d894b6467b3ddab0f1989a2cb4d.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:12	42212/42212	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:11%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/b732ddf09155ab8e9d675a4a9e6fe3db.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/b732ddf09155ab8e9d675a4a9e6fe3db.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:12%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/6f953f3e7ac9d894a97d59a06afcfa7b.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/6f953f3e7ac9d894a97d59a06afcfa7b.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:13	22836/22836	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:12%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/22ff9d894b6467b3ddab0f1989a2cb4d.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/22ff9d894b6467b3ddab0f1989a2cb4d.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:14%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/aeba314cd216c72b97019a6e8c17c9a5.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/aeba314cd216c72b97019a6e8c17c9a5.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:14	23740/23740	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:14%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/6f953f3e7ac9d894a97d59a06afcfa7b.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/6f953f3e7ac9d894a97d59a06afcfa7b.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:14%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/b146a0e8f0e873592940bcc60a355c0c.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/b146a0e8f0e873592940bcc60a355c0c.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:14	24616/24616	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:14%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/aeba314cd216c72b97019a6e8c17c9a5.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/aeba314cd216c72b97019a6e8c17c9a5.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:15%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:16	24824/24824	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:15%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/b146a0e8f0e873592940bcc60a355c0c.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/b146a0e8f0e873592940bcc60a355c0c.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:16%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:16	194188/194188	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:16%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:16%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:17	194064/194064	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:16%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:18%20GMT	http://turtlegameslunchclub.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:19	201132/201132	---MC-	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Dec%202021%2002:22:18%20GMT	https://turtlegameslunchclub.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://turtlegameslunchclub.my.canva.site/)
18:22:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Dec%202021%2002:22:20%20GMT	http://turtlegameslunchclub.my.canva.site/images/d7c26dba6a9025524b8aed38dd4b6775.svg	C:/My%20Web%20Sites/lctg/turtlegameslunchclub.my.canva.site/images/d7c26dba6a9025524b8aed38dd4b6775.svg	(from https://turtlegameslunchclub.my.canva.site/)
